set,TE,rowsums.pseudobulk,rowsums.cellbycell,rowsums.bycluster,cells.pseudobulk,cells.individual,cells.clusters,sample.name
ByCluster,L1FLnI_1p36.33b,0,0,5,0,0,5,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,HERVH_1p34.3a,0,0,2,0,0,2,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,HERVH_1p31.3c,0,0,3,0,0,3,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_1p31.2f,0,0,2,0,0,2,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,HERVH_1p31.1d,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_1p21.2d,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,PRIMA4_1q21.1d,0,0,3,0,0,3,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_1q21.2c,0,0,16,0,0,16,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,HERVH_1q43b,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_1q44m,0,0,2,0,0,2,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,HERVW_2p24.2,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_2p24.1g,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_2p16.1aa,0,0,7,0,0,7,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_2p12k,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_2p11.2q,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_2q13b,0,0,8,0,0,5,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLI_2q24.3b,0,0,2,0,0,2,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_2q34m,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_3q22.2j,0,0,2,0,0,2,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1ORF2_3q27.3b,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_4q25v,0,0,2,0,0,2,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,HERVH_4q28.3f,0,0,2,0,0,2,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_5q11.1m,0,0,2,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_5q33.1s,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_6q14.3t,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,HERVH_6q23.3,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_6q27w,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_7p11.2p,0,0,4,0,0,4,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_7q21.11ua,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_8q11.21z,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,HERVW_8q13.2,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_8q22.1c,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_8q22.1h,0,0,2,0,0,2,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_9q13a,0,0,4,0,0,4,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_9q21.11e,0,0,2,0,0,2,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_10p11.1g,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,HERVIP10FH_10q23.1,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_10q23.33n,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,HERVH_10q25.3,0,0,2,0,0,2,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_11p15.1h,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_11p11.2p,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_12q14.1b,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,HERVH_13q22.3,0,0,2,0,0,2,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_14q21.3b,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_15q11.2f,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_15q13.2a,0,0,11,0,0,11,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_16p13.3,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,HERVH_16q21c,0,0,2,0,0,2,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_18p11.32a,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,HERVH_18q12.1a,0,0,3,0,0,3,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_18q22.1e,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_22q11.1c,0,0,2,0,0,2,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,HERVH_Xp21.3a,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_Xq11.2c,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_Xq13.1ea,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_Xq21.1ze,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_Xq21.31na,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
ByCluster,L1FLnI_Xq21.33ab,0,0,1,0,0,1,10k_PBMC_3p_nextgem_Chromium_X
