set,TE,rowsums.pseudobulk,rowsums.cellbycell,rowsums.bycluster,cells.pseudobulk,cells.individual,cells.clusters,sample.name
ByCluster,L1FLnI_1p35.1d,0,0,2,0,0,2,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,PRIMA4_1q21.1d,0,0,12,0,0,12,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,L1FLnI_2p16.1da,0,0,1,0,0,1,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,HML3_2q23.3b,0,0,1,0,0,1,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,HERVH_2q34d,0,0,3,0,0,3,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,HERVE_4p16.3c,0,0,2,0,0,2,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,L1FLnI_4p15.2n,0,0,1,0,0,1,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,HERVH_4q32.3e,0,0,2,0,0,2,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,HERVW_5p13.2b,0,0,1,0,0,1,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,HERVK11_5p13.1,0,0,1,0,0,1,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,L1FLnI_5q15g,0,0,1,0,0,1,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,HERV9_5q31.3,0,0,1,0,0,1,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,HERVH_5q35.3,0,0,2,0,0,2,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,L1FLnI_6q27w,0,0,6,0,0,6,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,HERVL_7p12.3b,0,0,1,0,0,1,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,HML3_7p11.2a,0,0,1,0,0,1,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,HERVH_7q22.1b,0,0,1,0,0,1,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,L1ORF2_8p23.2b,0,0,3,0,0,3,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,HERVH_8p23.1b,0,0,4,0,0,4,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,L1FLnI_8p12d,0,0,1,0,0,1,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,L1FLnI_8q21.13ha,0,0,1,0,0,1,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,L1FLnI_9p12a,0,0,4,0,0,4,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,L1FLnI_9p11.1b,0,0,1,0,0,1,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,L1FLnI_9q12a,0,0,5,0,0,5,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,LTR25_9q13b,0,0,5,0,0,4,20k_PBMC_3p_HT_nextgem_Chromium_X
ByCluster,L1FLnI_9q21.11h,0,0,1,0,0,1,20k_PBMC_3p_HT_nextgem_Chromium_X
