TE_transcripts,500_PBMC_3p_LT_Chromium_X_pseudobulk,500_PBMC_3p_LT_Chromium_X_individual,500_PBMC_3p_LT_Chromium_X_celltypes_10X,10k_PBMC_3p_nextgem_Chromium_X_pseudobulk,10k_PBMC_3p_nextgem_Chromium_X_individual,10k_PBMC_3p_nextgem_Chromium_X_celltypes_10X,20k_PBMC_3p_HT_nextgem_Chromium_X_pseudobulk,20k_PBMC_3p_HT_nextgem_Chromium_X_individual,20k_PBMC_3p_HT_nextgem_Chromium_X_celltypes_10X
ERV316A3_1p36.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
L1FLnI_1p36.33a,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
L1FLnI_1p36.33b,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
HML3_1p36.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MER4B_1p36.33,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HARLEQUIN_1p36.33,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HERVIP10F_1p36.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HERVL_1p36.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ERVLE_1p36.32a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ERVLE_1p36.32b,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ERVLB4_1p36.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HML4_1p36.32,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
